#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host
,,0,2022-06-15T02:26:31.378089822Z,2022-06-15T03:26:31.378089822Z,2022-06-15T02:26:40Z,11.16,CH4,Aty,Esp-4
,,0,2022-06-15T02:26:31.378089822Z,2022-06-15T03:26:31.378089822Z,2022-06-15T02:27:00Z,11.18,CH4,Aty,Esp-4
,,0,2022-06-15T02:26:31.378089822Z,2022-06-15T03:26:31.378089822Z,2022-06-15T02:27:10Z,11.17,CH4,Aty,Esp-4
,,0,2022-06-15T02:26:31.378089822Z,2022-06-15T03:26:31.378089822Z,2022-06-15T02:27:30Z,11.15,CH4,Aty,Esp-4
,,0,2022-06-15T02:26:31.378089822Z,2022-06-15T03:26:31.378089822Z,2022-06-15T02:27:50Z,11.14,CH4,Aty,Esp-4
,,0,2022-06-15T02:26:31.378089822Z,2022-06-15T03:26:31.378089822Z,2022-06-15T02:28:10Z,11.04,CH4,Aty,Esp-4
,,0,2022-06-15T02:26:31.378089822Z,2022-06-15T03:26:31.378089822Z,2022-06-15T02:28:30Z,11.13,CH4,Aty,Esp-4
,,0,2022-06-15T02:26:31.378089822Z,2022-06-15T03:26:31.378089822Z,2022-06-15T02:28:50Z,11.12,CH4,Aty,Esp-4
,,0,2022-06-15T02:26:31.378089822Z,2022-06-15T03:26:31.378089822Z,2022-06-15T02:29:00Z,11.03,CH4,Aty,Esp-4
,,0,2022-06-15T02:26:31.378089822Z,2022-06-15T03:26:31.378089822Z,2022-06-15T02:29:20Z,11,CH4,Aty,Esp-4
,,0,2022-06-15T02:26:31.378089822Z,2022-06-15T03:26:31.378089822Z,2022-06-15T02:29:40Z,10.84,CH4,Aty,Esp-4
,,0,2022-06-15T02:26:31.378089822Z,2022-06-15T03:26:31.378089822Z,2022-06-15T02:30:00Z,11.03,CH4,Aty,Esp-4
,,0,2022-06-15T02:26:31.378089822Z,2022-06-15T03:26:31.378089822Z,2022-06-15T02:30:10Z,10.89,CH4,Aty,Esp-4
