#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host
,,0,2022-06-16T01:55:18.951523558Z,2022-06-16T02:55:18.951523558Z,2022-06-16T01:55:40Z,3.74,NH4,Aty,Esp-4
,,0,2022-06-16T01:55:18.951523558Z,2022-06-16T02:55:18.951523558Z,2022-06-16T01:56:00Z,3.7,NH4,Aty,Esp-4
,,0,2022-06-16T01:55:18.951523558Z,2022-06-16T02:55:18.951523558Z,2022-06-16T01:56:20Z,3.78,NH4,Aty,Esp-4
,,0,2022-06-16T01:55:18.951523558Z,2022-06-16T02:55:18.951523558Z,2022-06-16T01:56:40Z,3.75,NH4,Aty,Esp-4
,,0,2022-06-16T01:55:18.951523558Z,2022-06-16T02:55:18.951523558Z,2022-06-16T01:56:50Z,3.7,NH4,Aty,Esp-4
,,0,2022-06-16T01:55:18.951523558Z,2022-06-16T02:55:18.951523558Z,2022-06-16T01:57:10Z,3.66,NH4,Aty,Esp-4
,,0,2022-06-16T01:55:18.951523558Z,2022-06-16T02:55:18.951523558Z,2022-06-16T01:57:30Z,3.66,NH4,Aty,Esp-4
,,0,2022-06-16T01:55:18.951523558Z,2022-06-16T02:55:18.951523558Z,2022-06-16T01:57:50Z,3.68,NH4,Aty,Esp-4
,,0,2022-06-16T01:55:18.951523558Z,2022-06-16T02:55:18.951523558Z,2022-06-16T01:58:10Z,3.68,NH4,Aty,Esp-4
,,0,2022-06-16T01:55:18.951523558Z,2022-06-16T02:55:18.951523558Z,2022-06-16T01:58:20Z,3.69,NH4,Aty,Esp-4
,,0,2022-06-16T01:55:18.951523558Z,2022-06-16T02:55:18.951523558Z,2022-06-16T01:58:40Z,3.73,NH4,Aty,Esp-4
,,0,2022-06-16T01:55:18.951523558Z,2022-06-16T02:55:18.951523558Z,2022-06-16T01:59:00Z,3.7,NH4,Aty,Esp-4
