#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:23:20Z,71.89,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:23:40Z,72.33,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:24:00Z,71.82,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:24:10Z,72.3,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:24:30Z,72.08,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:24:50Z,72.51,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:25:10Z,72.16,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:25:20Z,72.82,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:25:40Z,72.75,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:26:00Z,72.52,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:26:20Z,72.7,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:26:40Z,72.26,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:26:50Z,72.68,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:27:10Z,72.46,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:27:30Z,72.48,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:27:50Z,72.53,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:28:10Z,72.78,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:28:20Z,72,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:28:40Z,71.73,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:29:00Z,71.86,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:29:20Z,71.69,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:29:40Z,71.44,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:29:50Z,71.21,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:30:10Z,71.89,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:30:30Z,71.12,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:30:50Z,71.73,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:31:10Z,72.27,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:31:30Z,71.79,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:32:00Z,70.63,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:32:20Z,71.32,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:32:30Z,71.37,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:32:40Z,70.45,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:32:50Z,70.54,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:33:10Z,71.04,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:33:30Z,70.86,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:33:50Z,69.35,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:34:10Z,70,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:34:20Z,70.9,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:34:40Z,69.99,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:35:00Z,70.35,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:35:20Z,70.09,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:35:40Z,69.47,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:35:50Z,70.28,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:36:10Z,69.96,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:36:30Z,69.86,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:36:50Z,69.9,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:37:10Z,70.05,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:37:20Z,70.24,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:37:40Z,69.28,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:38:00Z,70.45,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:38:20Z,69.24,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:38:40Z,69.22,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:39:00Z,69.24,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:39:10Z,68.64,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:39:30Z,68.69,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:40:00Z,68.82,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:40:10Z,68.94,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:40:40Z,69.1,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:41:10Z,69.15,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:41:20Z,68.23,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:41:30Z,69.54,H2,Aty,Esp-4
,,0,2022-06-21T13:23:10.766805024Z,2022-06-21T14:23:10.766805024Z,2022-06-21T13:41:40Z,68.3,H2,Aty,Esp-4
