#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:22:10Z,50.91,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:22:20Z,50.43,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:22:40Z,50.69,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:23:00Z,50.38,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:23:20Z,50.48,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:23:40Z,49.98,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:23:50Z,50.28,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:24:10Z,50.93,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:24:30Z,50.31,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:24:50Z,50.52,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:25:10Z,49.88,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:25:20Z,50.38,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:25:40Z,50.26,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:26:00Z,49.98,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:26:20Z,50.55,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:26:40Z,50.47,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:26:50Z,49.91,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:27:10Z,50.39,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:27:30Z,50.08,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:27:50Z,50.5,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:28:10Z,51.06,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:28:20Z,50.24,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:28:40Z,50.42,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:29:00Z,50.35,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:29:20Z,50.16,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:29:40Z,50.64,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:29:50Z,49.97,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:30:10Z,50.43,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:30:30Z,49.59,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:30:50Z,50.57,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:31:10Z,50.79,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:31:20Z,50.28,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:31:40Z,50.05,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:32:00Z,50.3,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:32:20Z,51.15,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:32:40Z,50,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:33:00Z,50.24,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:33:10Z,50.17,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:33:30Z,50.18,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:33:50Z,49.64,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:34:10Z,50.25,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:34:20Z,49.69,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:34:40Z,49.92,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:35:00Z,50.3,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:35:20Z,50.1,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:35:40Z,49.66,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:35:50Z,50.22,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:36:10Z,49.82,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:36:30Z,50.36,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:36:50Z,50.24,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:37:10Z,49.46,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:37:20Z,49.7,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:37:40Z,50.06,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:38:00Z,50,H2,Aty,Esp-4
,,0,2022-05-26T07:04:12.818856726Z,2022-05-26T08:04:12.818856726Z,2022-05-26T07:38:20Z,49.56,H2,Aty,Esp-4
