#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host
,,0,2022-06-27T06:33:41.045989477Z,2022-06-27T07:33:41.045989477Z,2022-06-27T06:34:00Z,14.64,CH4,Aty,Esp-4
,,0,2022-06-27T06:33:41.045989477Z,2022-06-27T07:33:41.045989477Z,2022-06-27T06:34:10Z,14.51,CH4,Aty,Esp-4
,,0,2022-06-27T06:33:41.045989477Z,2022-06-27T07:33:41.045989477Z,2022-06-27T06:34:30Z,14.57,CH4,Aty,Esp-4
,,0,2022-06-27T06:33:41.045989477Z,2022-06-27T07:33:41.045989477Z,2022-06-27T06:34:50Z,14.56,CH4,Aty,Esp-4
,,0,2022-06-27T06:33:41.045989477Z,2022-06-27T07:33:41.045989477Z,2022-06-27T06:35:10Z,14.47,CH4,Aty,Esp-4
,,0,2022-06-27T06:33:41.045989477Z,2022-06-27T07:33:41.045989477Z,2022-06-27T06:35:30Z,14.31,CH4,Aty,Esp-4
,,0,2022-06-27T06:33:41.045989477Z,2022-06-27T07:33:41.045989477Z,2022-06-27T06:35:40Z,14.58,CH4,Aty,Esp-4
,,0,2022-06-27T06:33:41.045989477Z,2022-06-27T07:33:41.045989477Z,2022-06-27T06:36:00Z,14.66,CH4,Aty,Esp-4
,,0,2022-06-27T06:33:41.045989477Z,2022-06-27T07:33:41.045989477Z,2022-06-27T06:36:20Z,14.62,CH4,Aty,Esp-4
,,0,2022-06-27T06:33:41.045989477Z,2022-06-27T07:33:41.045989477Z,2022-06-27T06:36:40Z,14.49,CH4,Aty,Esp-4
,,0,2022-06-27T06:33:41.045989477Z,2022-06-27T07:33:41.045989477Z,2022-06-27T06:37:00Z,14.52,CH4,Aty,Esp-4
,,0,2022-06-27T06:33:41.045989477Z,2022-06-27T07:33:41.045989477Z,2022-06-27T06:37:10Z,14.45,CH4,Aty,Esp-4
,,0,2022-06-27T06:33:41.045989477Z,2022-06-27T07:33:41.045989477Z,2022-06-27T06:37:30Z,14.62,CH4,Aty,Esp-4
,,0,2022-06-27T06:33:41.045989477Z,2022-06-27T07:33:41.045989477Z,2022-06-27T06:37:50Z,14.51,CH4,Aty,Esp-4
,,0,2022-06-27T06:33:41.045989477Z,2022-06-27T07:33:41.045989477Z,2022-06-27T06:38:10Z,14.7,CH4,Aty,Esp-4
,,0,2022-06-27T06:33:41.045989477Z,2022-06-27T07:33:41.045989477Z,2022-06-27T06:38:30Z,14.44,CH4,Aty,Esp-4
,,0,2022-06-27T06:33:41.045989477Z,2022-06-27T07:33:41.045989477Z,2022-06-27T06:38:40Z,14.6,CH4,Aty,Esp-4
,,0,2022-06-27T06:33:41.045989477Z,2022-06-27T07:33:41.045989477Z,2022-06-27T06:39:00Z,14.38,CH4,Aty,Esp-4
,,0,2022-06-27T06:33:41.045989477Z,2022-06-27T07:33:41.045989477Z,2022-06-27T06:39:20Z,14.8,CH4,Aty,Esp-4
,,0,2022-06-27T06:33:41.045989477Z,2022-06-27T07:33:41.045989477Z,2022-06-27T06:40:00Z,14.4,CH4,Aty,Esp-4
,,0,2022-06-27T06:33:41.045989477Z,2022-06-27T07:33:41.045989477Z,2022-06-27T06:40:10Z,14.48,CH4,Aty,Esp-4
,,0,2022-06-27T06:33:41.045989477Z,2022-06-27T07:33:41.045989477Z,2022-06-27T06:40:30Z,14.34,CH4,Aty,Esp-4
,,0,2022-06-27T06:33:41.045989477Z,2022-06-27T07:33:41.045989477Z,2022-06-27T06:40:50Z,14.57,CH4,Aty,Esp-4
,,0,2022-06-27T06:33:41.045989477Z,2022-06-27T07:33:41.045989477Z,2022-06-27T06:41:10Z,14.29,CH4,Aty,Esp-4
