#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host
,,0,2022-06-03T08:31:35.164619051Z,2022-06-03T09:31:35.164619051Z,2022-06-03T08:32:10Z,54.16,H2,Aty,Esp-4
,,0,2022-06-03T08:31:35.164619051Z,2022-06-03T09:31:35.164619051Z,2022-06-03T08:32:30Z,55.34,H2,Aty,Esp-4
,,0,2022-06-03T08:31:35.164619051Z,2022-06-03T09:31:35.164619051Z,2022-06-03T08:32:50Z,53.92,H2,Aty,Esp-4
,,0,2022-06-03T08:31:35.164619051Z,2022-06-03T09:31:35.164619051Z,2022-06-03T08:33:10Z,53.6,H2,Aty,Esp-4
,,0,2022-06-03T08:31:35.164619051Z,2022-06-03T09:31:35.164619051Z,2022-06-03T08:33:30Z,53.64,H2,Aty,Esp-4
,,0,2022-06-03T08:31:35.164619051Z,2022-06-03T09:31:35.164619051Z,2022-06-03T08:34:50Z,51.92,H2,Aty,Esp-4
,,0,2022-06-03T08:31:35.164619051Z,2022-06-03T09:31:35.164619051Z,2022-06-03T08:35:00Z,53.08,H2,Aty,Esp-4
,,0,2022-06-03T08:31:35.164619051Z,2022-06-03T09:31:35.164619051Z,2022-06-03T08:35:20Z,53.56,H2,Aty,Esp-4
,,0,2022-06-03T08:31:35.164619051Z,2022-06-03T09:31:35.164619051Z,2022-06-03T08:35:30Z,53.2,H2,Aty,Esp-4
,,0,2022-06-03T08:31:35.164619051Z,2022-06-03T09:31:35.164619051Z,2022-06-03T08:35:50Z,54.37,H2,Aty,Esp-4
,,0,2022-06-03T08:31:35.164619051Z,2022-06-03T09:31:35.164619051Z,2022-06-03T08:36:10Z,53.95,H2,Aty,Esp-4
,,0,2022-06-03T08:31:35.164619051Z,2022-06-03T09:31:35.164619051Z,2022-06-03T08:36:20Z,53.76,H2,Aty,Esp-4
,,0,2022-06-03T08:31:35.164619051Z,2022-06-03T09:31:35.164619051Z,2022-06-03T08:36:50Z,53.84,H2,Aty,Esp-4
,,0,2022-06-03T08:31:35.164619051Z,2022-06-03T09:31:35.164619051Z,2022-06-03T08:37:00Z,53.53,H2,Aty,Esp-4
,,0,2022-06-03T08:31:35.164619051Z,2022-06-03T09:31:35.164619051Z,2022-06-03T08:37:20Z,54.24,H2,Aty,Esp-4
,,0,2022-06-03T08:31:35.164619051Z,2022-06-03T09:31:35.164619051Z,2022-06-03T08:37:40Z,54.67,H2,Aty,Esp-4
,,0,2022-06-03T08:31:35.164619051Z,2022-06-03T09:31:35.164619051Z,2022-06-03T08:38:00Z,54.48,H2,Aty,Esp-4
,,0,2022-06-03T08:31:35.164619051Z,2022-06-03T09:31:35.164619051Z,2022-06-03T08:38:10Z,53.18,H2,Aty,Esp-4
,,0,2022-06-03T08:31:35.164619051Z,2022-06-03T09:31:35.164619051Z,2022-06-03T08:38:50Z,53.4,H2,Aty,Esp-4
,,0,2022-06-03T08:31:35.164619051Z,2022-06-03T09:31:35.164619051Z,2022-06-03T08:39:10Z,52.9,H2,Aty,Esp-4
,,0,2022-06-03T08:31:35.164619051Z,2022-06-03T09:31:35.164619051Z,2022-06-03T08:39:20Z,53.63,H2,Aty,Esp-4
,,0,2022-06-03T08:31:35.164619051Z,2022-06-03T09:31:35.164619051Z,2022-06-03T08:40:00Z,53.165,H2,Aty,Esp-4
,,0,2022-06-03T08:31:35.164619051Z,2022-06-03T09:31:35.164619051Z,2022-06-03T08:40:20Z,53.45,H2,Aty,Esp-4
,,0,2022-06-03T08:31:35.164619051Z,2022-06-03T09:31:35.164619051Z,2022-06-03T08:40:40Z,53.2,H2,Aty,Esp-4
,,0,2022-06-03T08:31:35.164619051Z,2022-06-03T09:31:35.164619051Z,2022-06-03T08:40:50Z,53.38,H2,Aty,Esp-4
,,0,2022-06-03T08:31:35.164619051Z,2022-06-03T09:31:35.164619051Z,2022-06-03T08:41:10Z,53.16,H2,Aty,Esp-4
,,0,2022-06-03T08:31:35.164619051Z,2022-06-03T09:31:35.164619051Z,2022-06-03T08:41:50Z,54.42,H2,Aty,Esp-4
,,0,2022-06-03T08:31:35.164619051Z,2022-06-03T09:31:35.164619051Z,2022-06-03T08:42:10Z,53.22,H2,Aty,Esp-4
,,0,2022-06-03T08:31:35.164619051Z,2022-06-03T09:31:35.164619051Z,2022-06-03T08:42:20Z,54.9,H2,Aty,Esp-4
,,0,2022-06-03T08:31:35.164619051Z,2022-06-03T09:31:35.164619051Z,2022-06-03T08:42:50Z,54.27,H2,Aty,Esp-4
,,0,2022-06-03T08:31:35.164619051Z,2022-06-03T09:31:35.164619051Z,2022-06-03T08:43:00Z,54.75,H2,Aty,Esp-4
