#group;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE
#datatype;string;long;dateTime:RFC3339;dateTime:RFC3339;dateTime:RFC3339;double;string;string;string
#default;mean;;;;;;;;
;result;table;_start;_stop;_time;_value;_field;_measurement;host
;;0;2022-06-06T02:06:10.751656087Z;2022-06-06T03:06:10.751656087Z;2022-06-06T02:06:30Z;53.94;H2;Aty;Esp-4
;;0;2022-06-06T02:06:10.751656087Z;2022-06-06T03:06:10.751656087Z;2022-06-06T02:06:40Z;53.71;H2;Aty;Esp-4
;;0;2022-06-06T02:06:10.751656087Z;2022-06-06T03:06:10.751656087Z;2022-06-06T02:07:00Z;54.55;H2;Aty;Esp-4
;;0;2022-06-06T02:06:10.751656087Z;2022-06-06T03:06:10.751656087Z;2022-06-06T02:07:20Z;53.42;H2;Aty;Esp-4
;;0;2022-06-06T02:06:10.751656087Z;2022-06-06T03:06:10.751656087Z;2022-06-06T02:07:30Z;53.64;H2;Aty;Esp-4
;;0;2022-06-06T02:06:10.751656087Z;2022-06-06T03:06:10.751656087Z;2022-06-06T02:07:50Z;53.95;H2;Aty;Esp-4
;;0;2022-06-06T02:06:10.751656087Z;2022-06-06T03:06:10.751656087Z;2022-06-06T02:08:20Z;53.6;H2;Aty;Esp-4
;;0;2022-06-06T02:06:10.751656087Z;2022-06-06T03:06:10.751656087Z;2022-06-06T02:08:30Z;53.34;H2;Aty;Esp-4
;;0;2022-06-06T02:06:10.751656087Z;2022-06-06T03:06:10.751656087Z;2022-06-06T02:09:10Z;53.24;H2;Aty;Esp-4
;;0;2022-06-06T02:06:10.751656087Z;2022-06-06T03:06:10.751656087Z;2022-06-06T02:09:20Z;53;H2;Aty;Esp-4
;;0;2022-06-06T02:06:10.751656087Z;2022-06-06T03:06:10.751656087Z;2022-06-06T02:09:40Z;52.35;H2;Aty;Esp-4
