#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host
,,0,2022-06-09T04:00:45.627444814Z,2022-06-09T05:00:45.627444814Z,2022-06-09T04:01:00Z,14.53,CH4,Aty,Esp-4
,,0,2022-06-09T04:00:45.627444814Z,2022-06-09T05:00:45.627444814Z,2022-06-09T04:01:10Z,14.73,CH4,Aty,Esp-4
,,0,2022-06-09T04:00:45.627444814Z,2022-06-09T05:00:45.627444814Z,2022-06-09T04:01:50Z,14.46,CH4,Aty,Esp-4
,,0,2022-06-09T04:00:45.627444814Z,2022-06-09T05:00:45.627444814Z,2022-06-09T04:02:10Z,14.68,CH4,Aty,Esp-4
,,0,2022-06-09T04:00:45.627444814Z,2022-06-09T05:00:45.627444814Z,2022-06-09T04:02:20Z,14.55,CH4,Aty,Esp-4
,,0,2022-06-09T04:00:45.627444814Z,2022-06-09T05:00:45.627444814Z,2022-06-09T04:02:40Z,14.36,CH4,Aty,Esp-4
,,0,2022-06-09T04:00:45.627444814Z,2022-06-09T05:00:45.627444814Z,2022-06-09T04:03:00Z,14.21,CH4,Aty,Esp-4
,,0,2022-06-09T04:00:45.627444814Z,2022-06-09T05:00:45.627444814Z,2022-06-09T04:03:20Z,14.17,CH4,Aty,Esp-4
,,0,2022-06-09T04:00:45.627444814Z,2022-06-09T05:00:45.627444814Z,2022-06-09T04:03:40Z,14.3,CH4,Aty,Esp-4
,,0,2022-06-09T04:00:45.627444814Z,2022-06-09T05:00:45.627444814Z,2022-06-09T04:03:50Z,14.33,CH4,Aty,Esp-4
,,0,2022-06-09T04:00:45.627444814Z,2022-06-09T05:00:45.627444814Z,2022-06-09T04:04:20Z,14.06,CH4,Aty,Esp-4
,,0,2022-06-09T04:00:45.627444814Z,2022-06-09T05:00:45.627444814Z,2022-06-09T04:04:30Z,13.97,CH4,Aty,Esp-4
,,0,2022-06-09T04:00:45.627444814Z,2022-06-09T05:00:45.627444814Z,2022-06-09T04:04:50Z,14.08,CH4,Aty,Esp-4
,,0,2022-06-09T04:00:45.627444814Z,2022-06-09T05:00:45.627444814Z,2022-06-09T04:05:10Z,13.93,CH4,Aty,Esp-4
,,0,2022-06-09T04:00:45.627444814Z,2022-06-09T05:00:45.627444814Z,2022-06-09T04:05:30Z,13.9,CH4,Aty,Esp-4
,,0,2022-06-09T04:00:45.627444814Z,2022-06-09T05:00:45.627444814Z,2022-06-09T04:05:40Z,13.72,CH4,Aty,Esp-4
,,0,2022-06-09T04:00:45.627444814Z,2022-06-09T05:00:45.627444814Z,2022-06-09T04:06:10Z,13.87,CH4,Aty,Esp-4
